PS1012V,PC,IT003C	3.7 	5.0 	4.0 	2.3 	5.6 	6.0 
PS1012V,PC,IT004C	17.5 	18.0 	18.0 	8.9 	14.0 	3.0 
PS1012V,PC,IT005C	5.1 	1.0 	2.0 	1.2 	3.8 	: 
PS1012V,PC,IT009C	21.7 	21.0 	24.0 	15.7 	23.7 	: 
PS1012V,PC,IT012C	15.6 	14.0 	10.0 	8.9 	8.9 	: 
PS1012V,PC,LT001C	17.2 	15.0 	13.0 	13.7 	15.9 	: 
PS1012V,PC,LU001C	37.7 	36.0 	41.0 	34.5 	33.9 	43.0 
PS1012V,PC,LV001C	24.5 	18.0 	28.0 	21.1 	30.7 	: 
PS1012V,PC,LV002C	: 	18.2 e	: 	: 	: 	: 
PS1012V,PC,LV003C	: 	9.4 e	: 	: 	: 	: 
PS1012V,PC,LV004C	: 	34.2 e	: 	: 	: 	: 
PS1012V,PC,LV005C	: 	22.9 e	: 	: 	: 	: 
PS1012V,PC,LV006C	: 	28.0 e	: 	: 	: 	: 
PS1012V,PC,LV007C	: 	18.4 e	: 	: 	: 	: 
PS1012V,PC,LV008C	: 	12.1 e	: 	: 	: 	: 
PS1012V,PC,LV009C	: 	16.6 e	: 	: 	: 	: 
PS1012V,PC,MT001C	19.2 	21.0 	20.0 	21.2 	18.1 	: 
PS1012V,PC,NL001C	36.8 	: 	: 	: 	: 	: 
PS1012V,PC,NL018C	31.6 	30.0 	28.0 	34.2 	30.4 	: 
PS1012V,PC,NL037C	54.0 	: 	: 	: 	: 	: 
PS1012V,PC,NO001C	44.6 	43.0 	34.0 	: 	: 	: 
PS1012V,PC,PL001C	25.8 	24.0 	29.0 	13.9 	24.6 	: 
PS1012V,PC,PL003C	27.3 	29.0 	21.0 	17.4 	23.1 	: 
PS1012V,PC,PL006C	30.8 	30.0 	29.0 	16.8 	22.6 	: 
PS1012V,PC,PL011C	27.2 	32.0 	28.0 	15.8 	23.6 	: 
PS1012V,PC,PT001C	10.3 	11.0 	13.0 	11.7 	16.7 	7.0 
PS1012V,PC,PT003C	13.2 	10.0 	7.0 	11.7 	13.7 	11.0 
PS1012V,PC,RO001C	7.2 	6.0 	9.0 	7.5 	6.5 	: 
PS1012V,PC,RO002C	24.8 	22.0 	23.0 	20.7 	21.6 	: 
PS1012V,PC,RO011C	14.1 	14.0 	19.0 	14.9 	20.8 	: 
PS1012V,PC,SE001C	33.8 	31.0 	31.0 	37.4 	27.2 	33.0 
PS1012V,PC,SE003C	30.0 	27.0 	27.0 	17.7 	25.6 	: 
PS1012V,PC,SI001C	32.9 	31.0 	41.0 	13.3 	17.0 	: 
PS1012V,PC,SK001C	16.1 	11.0 	10.0 	12.1 	3.6 	: 
PS1012V,PC,SK002C	13.8 	10.0 	14.0 	12.3 	8.4 	: 
PS1012V,PC,TR001C	24.8 	28.0 	22.0 	19.9 	34.6 	: 
PS1012V,PC,TR003C	28.2 	22.0 	27.0 	18.9 	23.0 	: 
PS1012V,PC,TR007C	28.0 	26.0 	24.0 	24.2 	21.5 	: 
PS1012V,PC,TR012C	26.3 	26.0 	23.0 	14.5 	17.0 	: 
PS1012V,PC,UK001C	42.5 	43.0 	49.0 	: 	: 	: 
PS1012V,PC,UK004C	36.7 	39.0 	39.0 	30.5 	39.2 	31.0 
PS1012V,PC,UK008C	: 	47.0 	43.0 	20.5 	40.8 	28.0 
PS1012V,PC,UK009C	31.4 	32.0 	36.0 	27.6 	33.7 	: 
PS1012V,PC,UK012C	37.9 	33.0 	37.0 	33.6 	35.6 	: 
PS1012V,PC,UK013C	: 	: 	: 	43.0 	45.7 	: 
PS1013V,PC,AT001C	25.0 	23.0 	28.0 	37.5 	27.4 	36.0 
PS1013V,PC,AT002C	40.7 	40.0 	40.0 	47.0 	34.6 	: 
PS1013V,PC,BE001C	51.3 	52.0 	45.0 	47.2 	36.9 	44.0 
PS1013V,PC,BE002C	46.1 	48.0 	39.0 	42.9 	38.3 	41.0 
PS1013V,PC,BE005C	41.6 	42.0 	46.0 	48.8 	35.1 	43.0 
PS1013V,PC,BG001C	54.6 	56.0 	43.0 	34.0 	17.8 	: 
PS1013V,PC,BG004C	28.9 	33.0 	46.0 	39.2 	28.8 	: 
